#twotheta, yobs, ycal, bkg, diff
1.626000e+001,8.000000e+002,7.908515e+002,7.671556e+002,9.148524e+000
1.628000e+001,7.620000e+002,7.913145e+002,7.674877e+002,-2.931452e+001
1.630000e+001,8.100000e+002,7.917785e+002,7.678196e+002,1.822148e+001
1.632000e+001,8.560000e+002,7.922435e+002,7.681514e+002,6.375651e+001
1.634000e+001,8.000000e+002,7.927094e+002,7.684832e+002,7.290565e+000
1.636000e+001,8.060000e+002,7.931764e+002,7.688148e+002,1.282363e+001
1.638000e+001,8.090000e+002,7.936443e+002,7.691463e+002,1.535568e+001
1.640000e+001,7.690000e+002,7.941133e+002,7.694777e+002,-2.511327e+001
1.642000e+001,7.810000e+002,7.945833e+002,7.698090e+002,-1.358326e+001
1.644000e+001,7.890000e+002,7.950543e+002,7.701402e+002,-6.054278e+000
1.646000e+001,8.310000e+002,7.955263e+002,7.704713e+002,3.547365e+001
1.648000e+001,8.260000e+002,7.959995e+002,7.708023e+002,3.000052e+001
1.650000e+001,8.070000e+002,7.964737e+002,7.711331e+002,1.052631e+001
1.652000e+001,8.880000e+002,7.969490e+002,7.714639e+002,9.105102e+001
1.654000e+001,7.850000e+002,7.974254e+002,7.717945e+002,-1.242538e+001
1.656000e+001,8.450000e+002,7.979029e+002,7.721251e+002,4.709712e+001
1.658000e+001,8.230000e+002,7.983815e+002,7.724555e+002,2.461849e+001
1.660000e+001,8.510000e+002,7.988613e+002,7.727859e+002,5.213872e+001
1.662000e+001,8.820000e+002,7.993422e+002,7.731161e+002,8.265780e+001
1.664000e+001,8.540000e+002,7.998243e+002,7.734462e+002,5.417571e+001
1.666000e+001,8.920000e+002,8.003075e+002,7.737762e+002,9.169245e+001
1.668000e+001,8.130000e+002,8.007920e+002,7.741061e+002,1.220800e+001
1.670000e+001,8.060000e+002,8.012777e+002,7.744359e+002,4.722340e+000
1.672000e+001,7.930000e+002,8.017645e+002,7.747656e+002,-8.764536e+000
1.674000e+001,8.090000e+002,8.022526e+002,7.750952e+002,6.747355e+000
1.676000e+001,8.300000e+002,8.027420e+002,7.754246e+002,2.725800e+001
